region_name,year,month,LST_Night,LAI,EVI,FPAR,LST_Day,NDVI
Poltavska,2010,9,279.1227123058743,0.0162205320238789,0.14629876694688398,0.09309788550310878,227.97384550308388,0.3240153685901917
Rivnenska,2010,9,279.5726946889501,0.04347694175720901,0.2790501375998509,0.2022119557119894,290.00181415515067,0.45877634658092914
Sumska,2010,9,264.6474493504732,0.022561224101004456,0.18792333367132613,0.1282946861503925,288.1017964484961,0.39045791600982244
Ternopilska,2010,9,279.15045677617314,0.03622163330418966,0.23005691269394282,0.17434006473007702,291.50309325988536,0.4190451563191763
Vinnytska,2010,9,275.13715744585284,0.02667435547069726,0.19318018562465447,0.13817722785924982,269.7422171978812,0.3707854403778421
Volynska,2010,9,279.1860995180173,0.039368534562240376,0.26299370424883417,0.197177875296028,290.5755799183368,0.4487958227119759
Zakarpatska,2010,9,280.7462869425298,0.050326030759447235,0.29938737839154655,0.22236623464503624,293.4589686373633,0.4995842039490574
Zaporizka,2010,9,246.9469792404847,0.012471545187188706,0.11512681682448198,0.07830661991658733,246.02274722470935,0.24786427560294166
Zhytomyrska,2010,9,278.03094678131276,0.03278719026330787,0.23519558851457983,0.16491622845536602,276.1089993778115,0.4259958539915445
Avtonomna_Respublika_Krym,2010,5,285.6390854412443,0.06269084327880912,0.284904143370891,0.2111172893080359,300.37436860424157,0.45613667114756973
Cherkaska,2010,5,282.5836341013848,0.06480827589543586,0.3546662323362367,0.20483669690975526,299.85541765350035,0.5345976288994246
Chernihivska,2010,5,283.89332233766356,0.06209297588003595,0.34946385030000915,0.20748705418425947,297.43156329972345,0.5288886628244571
Chernivetska,2010,5,235.72219300193976,0.08180627959169222,0.3797713003730376,0.2293975163107658,294.3874158318877,0.5700500977411777
Dnipropetrovska,2010,5,284.1423273217202,0.04169694342362464,0.29301507050991954,0.16742782974523024,288.0534040897666,0.5062534129386145
Donetska,2010,5,285.3362684003272,0.05050281344937933,0.3099641072978247,0.18543744119960287,287.1961781821947,0.5259897043247883
Ivano_Frankivska,2010,5,232.167964489015,0.10252729021721121,0.44409231896744156,0.2635317401686477,292.1432093654995,0.6273106597740674
Kharkivska,2010,5,284.00447913588295,0.040391933943614726,0.2743490145636463,0.15591179664607616,294.7018739399395,0.5016893880215634
Khersonska,2010,5,265.10533987545955,0.04799750620096603,0.2694587336216622,0.17795058522332743,289.61816210795087,0.44252739310744926
Khmelnytska,2010,5,253.7399689104464,0.07170495796696533,0.3826197592429086,0.21487431690885733,282.61013074679266,0.5667418554635771
Kirovohradska,2010,5,270.4473644301612,0.048706419878234264,0.29783013846646433,0.17424675204662507,279.8408681590937,0.5053371337784627
Luhanska,2010,5,265.44410639724225,0.05764151830152708,0.3076154041346139,0.19767424913933787,298.5660063885459,0.5268932241874217
Lvivska,2010,5,267.33639164716226,0.09712783543159664,0.4575942442570829,0.25052252072033043,271.1599352366186,0.6272544175469449
Mykolaivska,2010,5,271.97604729506565,0.05641830981523533,0.307948909259471,0.1973012378714743,287.6716472132568,0.5094338608977411
Odeska,2010,5,270.23219146331945,0.0801620114573702,0.35026175260258896,0.24193721281704877,300.08864163853804,0.5467641756987864
Poltavska,2010,5,284.8988356549494,0.05077683736943959,0.3164615095394727,0.1777406678687057,300.62045163688884,0.5126508785786594
Rivnenska,2010,5,276.51027418626444,0.0753464591534615,0.3998125670470103,0.22374412224551982,288.9367784443803,0.5736779089791102
Sumska,2010,5,284.45380582761175,0.07114828652918842,0.35115765444216823,0.22319985552468385,300.7637323973805,0.5445943099740167
Ternopilska,2010,5,256.80604838151277,0.07103166403127838,0.3781819910641713,0.21102356438195288,282.3610529079953,0.5707000162292256
Vinnytska,2010,5,259.51399591273065,0.07490046089772423,0.3826399783752718,0.22091227585839493,292.6551308422441,0.5629812478212717
Volynska,2010,5,279.81118147983307,0.08274221469336651,0.41564608662226865,0.23827881973714296,276.47352786536254,0.5893390685602645
Zakarpatska,2010,5,285.32496917776024,0.07061352246227047,0.3759594497731398,0.22161445220067272,217.79119344957766,0.5415683317561124
Zaporizka,2010,5,274.3311669983539,0.0451235712237412,0.2904723970661064,0.1727028664368892,288.1436422654102,0.480883032452836
Zhytomyrska,2010,5,282.60563821822325,0.07618721208768199,0.39408812391454556,0.22967895208673325,294.8617352341884,0.5831529447505439
Avtonomna_Respublika_Krym,2010,8,290.28731912147293,0.02664927612938938,0.17130731574919675,0.12743191297314918,310.3886061885601,0.3007664560495888
Cherkaska,2010,8,288.02835602963194,0.040823822394053536,0.21794690256595664,0.1742579351490709,301.9121851128749,0.37333346821870067
Chernihivska,2010,8,287.3034427327708,0.0379919766780535,0.23248165168217222,0.17392839000405289,304.2138368239304,0.4077872687847889
Chernivetska,2010,8,287.5916316251632,0.07570331834387366,0.3326550847874939,0.23869737477732772,296.9143501552556,0.5187236388542554
Dnipropetrovska,2010,8,289.63049551569753,0.024814885885654253,0.17224624303222694,0.13705877511913175,307.2145895430284,0.3307820253617531
